En Proceso,Empresas,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Transporte,ID_GVA24,"TRANSPORTE (Número). Ej: 1 (RETIRA CLIENTE), 3 (CADETE), 5 (RECEPTORIA), 6 (CORREO ARGENTINO), etc.",,,,,,,,,,,,,,,,
,,,,,,Vendedor,ID_GVA23,"VENDEDOR (Número). Ej: 10 (FACUNDO), 11 (MELINA), 24 (Juan Butorac), etc.",,,,,,,,,,,,,,,,
,,,,,,Provincia,ID_GVA18,"PROVINCIA (Número). 1 (Bs As), 2 (Catamarca), 3 (Córdoba), etc. Hay que mapear el ID numérico de cada provincia.",,,,,,,,,,,,,,,,
,,,,,,Estado del Cliente,HABILITADO,true (Para que nazca activo).,,,,,,,,,,,,,,,,
,,,,,,Cuenta Corriente,MON_CTE,true (Para que le puedan facturar a crédito).,,,,,,,,,,,,,,,,
,,,,,,Exportación,EXPORTA,false (Operaciones locales).,,,,,,,,,,,,,,,,
,,,,,,Intereses Mora,APLICA_MORA,"""S"" o ""N"".",,,,,,,,,,,,,,,,
,,,,,,Sucursal Origen,SUCURSAL_NRO,1 (Casa Central).,,,,,,,,,,,,,,,,
,,,,,,Impuestos / Percepciones,SOBRE_IVA,"""N"" (Enviar también II_L, II_D, y SOBRE_II en ""N"").",,,,,,,,,,,,,,,,
,,,,,,Modos de Impresión,TYP_FEX,"""H"" (Enviar también TYP_NCEX y TYP_NDEX en ""H"").",,,,,,,,,,,,,,,,
,,,,,,Tipo de Destino,DESTINO_DE,"""T"".",,,,,,,,,,,,,,,,
,,,,,,Idioma Cliente,IDIOMA_CTE,"""1"".",,,,,,,,,,,,,,,,
,,,,,,Comentarios Impresos,INC_COMENT,"""N"".",,,,,,,,,,,,,,,,
,,,,,,Vinculación AFIP,RG_3572_EMPRESA_VINCULADA_CLIENTE,false.,,,,,,,,,,,,,,,,
,,,,,,Descuentos Globales,PORC_EXCL,0 (Enviar también PORC_DESC en 0).,,,,,,,,,,,,,,,,
,,,,,,Límite Crédito,CUPO_CREDI,0 (Sin límite fijo hardcodeado).,,,,,,,,,,,,,,,,
,,,,,,Restricción Ventas,CLAUSULA,false.,,,,,,,,,,,,,,,,
,,,,,,Portal Web de Cobros,INHABILITADO_NEXO_COBRANZAS,"""N"" (Enviar también PUBLICA_WEB_CLIENTES en ""N"").",,,,,,,,,,,,,,,,
,,,,,,Días de Cobranza,COBRA_LUNES,"""N"" (Hacer lo mismo con el resto de los días: COBRA_MARTES, COBRA_MIERCOLES, etc.).",,,,,,,,,,,,,,,,
